age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,age_experience_ratio,income_per_joblevel,overtime_wlb_conflict,commute_burden,overall_job_satisfaction,career_progression_rate,age_squared,totalworkingyears_squared,monthlyincome_squared,yearsatcompany_squared,age_group,income_quartile,tenure_group,distance_category,income_per_exp_year,promotion_frequency,training_intensity,role_stability,manager_stability,hike_per_level,avg_satisfaction,satisfaction_variance,min_satisfaction,low_satisfaction_count,promotion_gap_ratio,role_stagnation,early_career,job_hopper
41,1,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,4.555555555555555,1997.6666666666667,4,1,8,0.2857142857142857,1681,64,35916049,36,Mid-Career,Q3,Experienced,Near,665.8888888888889,1.0,0.0,0.5714285714285714,0.7142857142857143,3.6666666666666665,2.0,2.0,1,3,0.0,4,0,0
49,0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,2,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,4.454545454545454,1710.0,0,16,6,0.18181818181818182,2401,100,26316900,100,Senior,Q3,Experienced,Medium,466.3636363636364,0.5,0.2727272727272727,0.6363636363636364,0.6363636363636364,7.666666666666667,3.0,0.6666666666666666,2,1,0.09090909090909091,6,0,0
37,1,Travel_Rarely,1373,Research & Development,2,2,Other,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,4.625,1045.0,2,2,12,1.0,1369,49,4368100,0,Mid-Career,Q1,New,Near,261.25,1.0,3.0,0.0,0.0,7.5,3.0,0.6666666666666666,2,1,0.0,0,0,1
33,0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,5,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,3.6666666666666665,1454.5,2,6,12,0.1111111111111111,1089,64,8462281,64,Mid-Career,Q1,Experienced,Near,323.22222222222223,0.25,0.3333333333333333,0.7777777777777778,0.0,5.5,3.25,0.25,3,0,0.3333333333333333,4,0,0
27,0,Travel_Rarely,591,Research & Development,2,1,Medical,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,3.857142857142857,1734.0,0,2,2,0.3333333333333333,729,36,12027024,4,Young,Q2,New,Near,495.42857142857144,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,6.0,2.5,1.6666666666666667,1,2,0.6666666666666666,0,0,1
32,0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,3.5555555555555554,1534.0,0,4,16,0.125,1024,64,9412624,49,Mid-Career,Q2,Experienced,Near,340.8888888888889,0.25,0.25,0.875,0.75,6.5,3.25,0.9166666666666666,2,1,0.375,4,0,0
59,0,Travel_Rarely,1324,Research & Development,3,3,Medical,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,4.538461538461538,1335.0,3,3,3,0.5,3481,144,7128900,1,Senior,Q1,New,Near,205.3846153846154,1.0,1.5,0.0,0.0,10.0,1.75,0.9166666666666666,1,3,0.0,0,0,1
30,0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,15.0,1346.5,0,24,12,0.5,900,1,7252249,1,Young,Q1,New,Far,1346.5,1.0,1.0,0.0,0.0,11.0,3.0,0.6666666666666666,2,1,0.0,0,1,0
38,0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,3.4545454545454546,2381.5,0,46,12,0.3,1444,100,90744676,81,Mid-Career,Q4,Experienced,Far,866.0,0.5,0.2,0.7,0.8,5.25,3.0,0.6666666666666666,2,1,0.1,6,0,0
36,0,Travel_Rarely,1299,Research & Development,27,3,Medical,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,2.0,1745.6666666666667,0,27,9,0.25,1296,289,27426169,49,Mid-Career,Q3,Experienced,Far,290.94444444444446,0.125,0.375,0.875,0.875,4.333333333333333,2.5,0.3333333333333333,2,2,0.875,0,0,0
35,0,Travel_Rarely,809,Research & Development,16,3,Medical,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,5.0,1213.0,0,16,2,0.16666666666666666,1225,36,5885476,25,Mid-Career,Q1,Mid,Far,346.57142857142856,1.0,0.8333333333333334,0.6666666666666666,0.5,6.5,2.25,0.9166666666666666,1,2,0.0,4,0,0
29,0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,2.6363636363636362,1397.6666666666667,2,15,12,0.2,841,100,17581249,81,Young,Q2,Experienced,Medium,381.1818181818182,1.0,0.3,0.5,0.8,4.0,3.5,0.3333333333333333,3,0,0.0,5,0,0
31,0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,5.166666666666667,1455.5,0,26,3,0.16666666666666666,961,25,8473921,25,Mid-Career,Q1,Mid,Far,485.1666666666667,0.2,0.16666666666666666,0.3333333333333333,0.5,8.5,2.5,1.6666666666666667,1,2,0.6666666666666666,-2,0,0
34,0,Travel_Rarely,1346,Research & Development,19,2,Medical,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,8.5,1330.5,0,19,8,0.3333333333333333,1156,9,7080921,4,Mid-Career,Q1,New,Far,665.25,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,5.5,3.0,0.6666666666666666,2,1,0.3333333333333333,1,1,0
28,1,Travel_Rarely,103,Research & Development,24,3,Life Sciences,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,4.0,1014.0,2,24,9,0.2,784,36,4112784,16,Young,Q1,Mid,Far,289.7142857142857,1.0,0.8,0.4,0.6,7.0,2.75,0.25,2,1,0.0,2,0,0
29,0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,2.6363636363636362,2495.0,0,21,2,0.2727272727272727,841,100,99600400,100,Young,Q4,Experienced,Far,907.2727272727273,0.1111111111111111,0.09090909090909091,0.8181818181818182,0.7272727272727273,2.75,2.25,0.9166666666666666,1,2,0.7272727272727273,1,0,0
