attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,time_in_role_ratio,time_with_manager_ratio,promotion_recency,role_stagnation,mobility_gap
1,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,0,94,3,2,Sales Executive,4,Single,19479,8,Y,Yes,11,1,80,0,8,0,1,6,0,0.6666665555555741,0.8333331944444675,1.0,4,2
0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,1,61,2,2,Research Scientist,2,Married,24907,1,Y,No,23,4,80,1,10,3,3,10,1,0.699999930000007,0.699999930000007,0.5,6,3
1,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,1,92,2,1,Laboratory Technician,3,Single,2396,6,Y,Yes,15,2,80,0,7,3,3,0,0,0.0,0.0,1.0,0,0
0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,0,56,3,1,Research Scientist,3,Married,23159,1,Y,Yes,11,3,80,0,8,3,3,8,3,0.8749998906250137,0.0,0.25,4,1
0,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,1,40,3,1,Laboratory Technician,2,Married,16632,9,Y,No,12,4,80,1,6,3,3,2,2,0.99999950000025,0.99999950000025,0.3333333333333333,0,0
0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,1,79,3,1,Laboratory Technician,4,Single,11864,0,Y,No,13,3,80,0,8,2,2,7,3,0.9999998571428775,0.857142734693895,0.25,4,0
0,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,0,81,4,1,Laboratory Technician,1,Married,9964,4,Y,Yes,20,1,80,3,12,3,2,1,0,0.0,0.0,1.0,0,1
0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,1,67,3,1,Laboratory Technician,3,Divorced,13335,1,Y,No,22,2,80,1,1,2,3,1,0,0.0,0.0,1.0,0,1
0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,1,44,2,3,Manufacturing Director,3,Single,8787,0,Y,No,21,2,80,0,10,2,3,9,1,0.7777776913580343,0.8888887901234679,0.5,6,2
0,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,1,94,3,2,Healthcare Representative,3,Married,16577,6,Y,No,13,2,80,2,17,3,2,7,7,0.9999998571428775,0.9999998571428775,0.125,0,0
0,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,1,1,84,4,1,Laboratory Technician,2,Married,16479,0,Y,No,13,3,80,1,6,5,3,5,0,0.799999840000032,0.599999880000024,1.0,4,1
0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,0,49,2,2,Laboratory Technician,3,Single,12682,0,Y,Yes,12,4,80,0,10,3,3,9,0,0.5555554938271674,0.8888887901234679,1.0,5,4
0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,1,31,3,1,Research Scientist,3,Divorced,15170,1,Y,No,17,4,80,1,5,1,2,5,4,0.399999920000016,0.599999880000024,0.2,-2,3
0,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,1,93,3,1,Laboratory Technician,4,Divorced,8758,0,Y,No,11,3,80,1,3,2,3,2,1,0.99999950000025,0.99999950000025,0.5,1,0
1,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,1,50,2,1,Laboratory Technician,3,Single,12947,5,Y,Yes,14,2,80,0,6,4,3,4,0,0.49999987500003124,0.7499998125000469,1.0,2,2
0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,0,51,4,3,Manufacturing Director,1,Divorced,10195,1,Y,No,11,3,80,1,10,1,3,10,8,0.8999999100000091,0.7999999200000081,0.1111111111111111,1,1
0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,1,80,4,1,Research Scientist,2,Divorced,15053,0,Y,Yes,12,4,80,2,7,5,2,6,0,0.33333327777778704,0.8333331944444675,1.0,2,4
0,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,1,96,4,1,Laboratory Technician,4,Divorced,7324,1,Y,Yes,13,2,80,2,1,2,2,1,0,0.0,0.0,1.0,0,1
0,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,0,78,2,4,Manager,4,Married,22021,2,Y,No,16,3,80,0,31,3,3,25,3,0.3199999872000005,0.27999998880000043,0.25,5,17
0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,1,45,3,1,Research Scientist,4,Single,4306,5,Y,Yes,11,3,80,0,6,3,3,3,1,0.6666664444445185,0.6666664444445185,0.5,1,1
0,Non-Travel,673,Research & Development,11,2,Other,1,26,1,0,96,4,2,Manufacturing Director,3,Divorced,8232,0,Y,No,18,4,80,1,5,5,2,4,1,0.49999987500003124,0.7499998125000469,0.5,1,2
1,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,1,82,2,1,Sales Representative,1,Single,6986,7,Y,No,23,2,80,0,10,4,3,5,0,0.599999880000024,0.599999880000024,1.0,3,2
0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,0,53,3,3,Research Director,2,Single,21293,0,Y,No,11,3,80,0,13,4,3,12,2,0.4999999583333368,0.9166665902777842,0.3333333333333333,4,6
0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,1,96,3,1,Research Scientist,4,Single,19281,1,Y,No,14,4,80,0,0,6,3,0,0,0.0,0.0,1.0,0,0
1,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,1,83,3,1,Research Scientist,1,Single,17102,2,Y,No,11,3,80,0,8,2,3,4,1,0.49999987500003124,0.7499998125000469,0.5,1,2
0,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,0,58,3,5,Manager,3,Divorced,10735,4,Y,No,11,4,80,1,26,3,2,14,4,0.9285713622449028,0.5714285306122479,0.2,9,1
1,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,0,72,1,1,Research Scientist,1,Single,4681,1,Y,Yes,22,2,80,0,10,5,3,10,6,0.19999998000000202,0.699999930000007,0.14285714285714285,-4,8
0,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,1,48,3,2,Sales Executive,2,Married,21173,0,Y,No,11,4,80,1,10,2,3,9,4,0.7777776913580343,0.22222219753086697,0.2,3,2
0,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,0,42,2,3,Healthcare Representative,4,Married,2094,3,Y,No,14,4,80,1,24,4,3,22,5,0.27272726033057904,0.7727272376033073,0.16666666666666666,1,16
0,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,0,83,3,5,Manager,1,Single,22822,3,Y,No,12,4,80,0,22,2,2,2,2,0.99999950000025,0.499999750000125,0.3333333333333333,0,0
0,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,1,78,3,1,Laboratory Technician,4,Single,6670,4,Y,No,11,4,80,0,7,3,3,1,0,0.9999990000010001,0.0,1.0,1,0
0,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,1,41,3,2,Healthcare Representative,4,Married,19121,2,Y,Yes,13,4,80,0,9,5,4,4,1,0.49999987500003124,0.7499998125000469,0.5,1,2
0,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,1,83,2,1,Laboratory Technician,3,Single,16117,1,Y,No,13,1,80,0,10,5,3,10,1,0.0,0.7999999200000081,0.5,-1,10
1,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,1,56,3,2,Sales Representative,4,Married,3335,3,Y,No,14,3,80,1,19,6,4,1,0,0.0,0.0,1.0,0,1
1,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,1,61,3,1,Research Scientist,4,Married,3020,2,Y,Yes,16,1,80,1,6,2,2,2,2,0.0,0.0,0.3333333333333333,-2,2
0,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,0,72,4,1,Research Scientist,3,Divorced,21923,1,Y,No,12,4,80,2,6,3,2,5,1,0.599999880000024,0.799999840000032,0.5,2,2
1,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,1,86,2,1,Sales Representative,3,Married,3810,1,Y,Yes,14,3,80,0,3,2,3,3,0,0.6666664444445185,0.6666664444445185,1.0,2,1
0,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,0,97,3,1,Sales Representative,4,Married,9687,1,Y,No,13,1,80,0,2,3,3,2,2,0.99999950000025,0.99999950000025,0.3333333333333333,0,0
0,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,0,82,2,1,Research Scientist,1,Married,13072,9,Y,Yes,14,4,80,1,6,3,4,1,0,0.9999990000010001,0.0,1.0,1,0
0,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,0,42,4,2,Sales Executive,1,Married,3193,2,Y,No,19,1,80,2,10,3,3,5,1,0.599999880000024,0.599999880000024,0.5,2,2
0,Travel_Rarely,464,Research & Development,4,2,Other,1,53,3,1,75,3,1,Laboratory Technician,4,Divorced,10910,1,Y,No,12,3,80,1,1,3,3,1,0,0.0,0.0,1.0,0,1
0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,0,33,3,1,Laboratory Technician,1,Divorced,19715,1,Y,No,13,4,80,1,1,6,3,1,0,0.0,0.0,1.0,0,1
1,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,1,48,1,1,Laboratory Technician,3,Single,10558,1,Y,No,12,3,80,0,1,2,2,1,0,0.0,0.9999990000010001,1.0,0,1
0,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,1,37,3,3,Sales Executive,3,Single,2975,1,Y,No,15,4,80,0,9,0,3,9,1,0.8888887901234679,0.7777776913580343,0.5,7,1
0,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,0,58,3,2,Laboratory Technician,4,Single,10781,1,Y,No,23,4,80,0,12,2,3,12,3,0.6666666111111158,0.5833332847222263,0.25,5,4
1,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,0,49,3,5,Research Director,3,Married,16280,1,Y,No,12,4,80,0,23,0,3,22,15,0.6818181508264477,0.36363634710743875,0.0625,0,7
0,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,1,72,3,2,Sales Executive,3,Single,10034,0,Y,No,20,3,80,0,10,2,3,9,8,0.5555554938271674,0.7777776913580343,0.1111111111111111,-3,4
0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,1,73,3,1,Research Scientist,2,Married,10227,4,Y,No,21,1,80,0,8,1,3,1,0,0.0,0.0,1.0,0,1
0,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,1,1,98,3,2,Sales Executive,4,Single,20445,4,Y,Yes,21,3,80,0,14,4,3,9,0,0.6666665925926009,0.8888887901234679,1.0,6,3
0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,4,1,36,4,1,Laboratory Technician,4,Married,4892,1,Y,No,19,4,80,0,1,2,3,1,0,0.0,0.9999990000010001,1.0,0,1
1,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,1,1,98,2,3,Laboratory Technician,3,Single,19294,9,Y,Yes,13,4,80,0,23,2,3,1,0,0.0,0.0,1.0,0,1
1,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,3,1,50,3,1,Laboratory Technician,3,Single,11179,1,Y,Yes,13,3,80,0,2,3,2,2,2,0.99999950000025,0.99999950000025,0.3333333333333333,0,0
0,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,2,0,75,3,2,Sales Executive,1,Divorced,4009,5,Y,Yes,21,3,80,1,9,2,2,4,1,0.7499998125000469,0.7499998125000469,0.5,2,1
0,Non-Travel,1097,Research & Development,11,2,Medical,1,70,3,1,79,2,3,Healthcare Representative,1,Married,8302,2,Y,Yes,13,3,80,1,10,3,3,4,2,0.0,0.7499998125000469,0.3333333333333333,-2,4
0,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,3,0,47,2,2,Sales Executive,4,Married,21436,7,Y,Yes,19,3,80,1,5,2,2,2,0,0.99999950000025,0.0,1.0,2,0
0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,1,0,98,3,3,Research Director,4,Single,15146,1,Y,Yes,12,3,80,0,15,1,3,15,8,0.9333332711111153,0.7999999466666703,0.1111111111111111,6,1
0,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,2,1,71,3,3,Sales Executive,1,Married,11031,1,Y,No,22,4,80,1,9,3,2,9,1,0.8888887901234679,0.8888887901234679,0.5,7,1
0,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,3,0,30,3,1,Laboratory Technician,1,Married,16002,3,Y,Yes,15,3,80,1,4,3,3,2,2,0.99999950000025,0.99999950000025,0.3333333333333333,0,0
0,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,4,1,48,3,2,Laboratory Technician,4,Divorced,9528,3,Y,No,22,4,80,1,10,3,2,7,1,0.9999998571428775,0.9999998571428775,0.5,6,0
0,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,1,1,51,2,2,Manufacturing Director,3,Divorced,2689,1,Y,No,18,3,80,1,7,2,4,7,0,0.7142856122449125,0.9999998571428775,1.0,5,2
0,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,1,1,33,3,2,Manufacturing Director,4,Married,10877,1,Y,Yes,22,2,80,1,9,3,3,9,7,0.8888887901234679,0.8888887901234679,0.125,1,1
0,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79,4,0,50,3,2,Laboratory Technician,4,Single,5456,1,Y,No,11,4,80,0,10,2,3,10,9,0.299999970000003,0.8999999100000091,0.1,-6,7
0,Travel_Rarely,989,Research & Development,7,2,Medical,1,80,2,0,43,2,5,Research Director,3,Divorced,16701,5,Y,Yes,12,4,80,1,29,2,2,27,13,0.11111110699588492,0.2962962853223598,0.07142857142857142,-10,24
0,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,1,0,99,3,3,Sales Executive,1,Single,2354,7,Y,No,11,4,80,0,28,3,2,21,7,0.7619047256235845,0.4285714081632663,0.125,9,5
0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,3,0,59,3,3,Healthcare Representative,3,Divorced,8202,1,Y,No,13,2,80,3,17,2,3,17,12,0.8235293633218022,0.47058820761245834,0.07692307692307693,2,3
0,Travel_Rarely,836,Research & Development,8,3,Medical,1,84,4,0,33,3,4,Manager,3,Divorced,19730,2,Y,Yes,14,3,80,3,21,2,3,5,0,0.0,0.399999920000016,1.0,0,5
0,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,2,1,95,2,2,Manufacturing Director,2,Single,22656,1,Y,No,13,3,80,0,6,3,3,6,0,0.8333331944444675,0.49999991666668053,1.0,5,1
0,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,2,1,59,3,3,Research Scientist,1,Divorced,18787,2,Y,No,17,3,80,1,25,2,3,1,0,0.0,0.0,1.0,0,1
0,Travel_Frequently,664,Research & Development,1,3,Medical,1,88,2,1,79,3,1,Research Scientist,1,Married,5868,4,Y,No,13,4,80,1,5,2,2,3,1,0.6666664444445185,0.6666664444445185,0.5,1,1
1,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,4,1,79,2,1,Research Scientist,3,Married,21777,0,Y,Yes,17,1,80,1,2,0,2,1,0,0.0,0.0,1.0,0,1
0,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,1,0,57,2,2,Sales Executive,3,Single,24668,7,Y,No,11,4,80,0,20,2,2,4,1,0.7499998125000469,0.7499998125000469,0.5,2,1
0,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,94,3,1,76,3,1,Research Scientist,2,Married,4956,0,Y,No,23,4,80,1,6,3,3,5,0,0.799999840000032,0.799999840000032,1.0,4,1
0,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95,3,1,87,3,1,Research Scientist,2,Single,18775,1,Y,No,17,2,80,0,1,4,3,1,1,0.9999990000010001,0.0,0.5,0,0
0,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96,2,1,66,3,2,Research Scientist,2,Married,7346,1,Y,No,17,2,80,2,10,3,3,10,0,0.39999996000000404,0.8999999100000091,1.0,4,6
0,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,2,0,55,4,1,Laboratory Technician,4,Married,22002,3,Y,No,12,2,80,0,5,3,3,1,0,0.0,0.0,1.0,0,1
0,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98,3,0,61,3,2,Manufacturing Director,4,Single,20682,1,Y,No,23,4,80,0,11,2,3,11,1,0.636363578512402,0.7272726611570308,0.5,6,4
0,Travel_Rarely,776,Sales,1,4,Marketing,1,100,3,1,32,2,2,Sales Executive,1,Single,23016,0,Y,No,14,2,80,0,16,2,3,15,2,0.8666666088888928,0.5333332977777802,0.3333333333333333,11,2
0,Travel_Rarely,193,Research & Development,6,4,Other,1,101,4,1,52,3,3,Research Director,1,Married,15067,4,Y,Yes,14,2,80,0,17,3,4,0,0,0.0,0.0,1.0,0,0
0,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,1,1,30,3,3,Research Director,3,Single,25258,4,Y,No,13,1,80,0,16,3,4,5,0,0.399999920000016,0.399999920000016,1.0,2,3
0,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,2,1,80,3,2,Human Resources,2,Divorced,10425,8,Y,Yes,22,4,80,1,16,2,3,4,0,0.49999987500003124,0.49999987500003124,1.0,2,2
0,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,4,1,55,2,2,Laboratory Technician,4,Married,15998,1,Y,Yes,12,3,80,2,10,1,2,10,3,0.7999999200000081,0.0,0.25,5,2
0,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,2,1,30,2,1,Research Scientist,3,Single,26278,1,Y,No,18,1,80,0,6,3,3,6,0,0.6666665555555741,0.6666665555555741,1.0,4,2
0,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106,1,1,70,3,3,Sales Executive,4,Married,18092,3,Y,No,14,4,80,1,24,4,3,1,1,0.0,0.0,0.5,-1,1
0,Non-Travel,573,Research & Development,6,3,Medical,1,107,2,0,79,1,2,Research Scientist,4,Divorced,15717,7,Y,Yes,12,4,80,3,17,3,3,13,1,0.8461537810650938,0.6923076390532585,0.5,10,2
0,Travel_Rarely,1153,Research & Development,1,2,Medical,1,110,1,1,94,3,2,Manufacturing Director,2,Married,17736,1,Y,No,15,3,80,0,5,2,3,5,1,0.399999920000016,0.599999880000024,0.5,1,3
0,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112,4,1,49,1,3,Manufacturing Director,4,Single,21698,4,Y,No,11,1,80,0,37,3,2,6,0,0.6666665555555741,0.33333327777778704,1.0,4,2
0,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,1,62,3,1,Sales Representative,1,Divorced,9518,3,Y,No,13,3,80,1,3,3,3,0,0,0.0,0.0,1.0,0,0
0,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,116,4,1,96,3,1,Laboratory Technician,4,Married,18725,3,Y,No,23,2,80,2,10,4,3,4,0,0.49999987500003124,0.7499998125000469,1.0,2,2
0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117,3,1,99,2,2,Healthcare Representative,4,Married,15830,1,Y,No,19,1,80,3,11,3,3,11,10,0.9090908264462886,0.7272726611570308,0.09090909090909091,0,1
1,Travel_Rarely,669,Sales,9,2,Medical,1,118,3,1,64,2,3,Sales Executive,4,Single,13596,1,Y,No,16,4,80,0,9,3,3,9,4,0.8888887901234679,0.7777776913580343,0.2,4,1
0,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,119,3,1,78,2,4,Healthcare Representative,2,Married,14115,1,Y,No,22,4,80,1,22,3,2,22,11,0.13636363016528952,0.49999997727272827,0.08333333333333333,-8,19
